6135
0	387	0
573	720	388
1429	1533	536
2250	2351	641
2442	2513	743
2706	2780	815
3744	3803	890
4130	4202	950
8572	8618	1023
9085	9134	1070
0	387	0
573	720	388
1420	1524	536
2241	2342	641
2433	2504	743
2699	2773	815
3737	3796	890
4123	4195	950
8569	8615	1023
9068	9117	1070
0	303	0
489	635	304
1319	1426	451
2157	2217	559
2329	2388	620
2582	2618	680
0	278	0
50904	51139	279
0	713	0
749	1101	714
0	59	0
2706	4542	60
0	1287	0
5665	5706	1288
0	532	0
1622	3032	533
0	164	0
934	1048	165
1135	1251	280
1732	1802	397
1889	2034	468
2811	2876	614
3164	3707	680
0	75	0
553	711	76
4175	4320	235
5552	5665	381
6467	6598	495
8083	8190	627
8853	9001	735
10772	10916	884
11079	11280	1029
12313	12346	1231
12362	12396	1265
12514	12641	1300
14914	15078	1428
15867	16083	1593
17027	17463	1810
20055	20204	2247
0	103	0
237	307	104
1115	1228	175
1762	1815	289
2621	2665	343
5089	5213	388
5648	5777	513
6224	6358	643
7090	7337	778
0	10	0
995	1091	11
1741	1827	108
3569	3652	195
3808	3981	279
5852	6001	453
6412	6460	603
6602	6723	652
8863	9048	774
0	156	0
343	456	157
2346	2485	271
2851	3014	411
4821	4956	575
7339	7420	711
8846	9012	793
10094	10154	960
16604	16722	1021
16803	16959	1140
17159	17223	1297
18141	18211	1362
19331	19707	1433
0	42	0
1849	1984	43
4367	4448	179
5874	6040	261
7122	7182	428
13632	13750	489
13831	13987	608
14187	14251	765
15169	15239	830
16359	16735	901
0	54	0
1480	1646	55
2728	2788	222
9238	9356	283
9437	9593	402
9793	9857	559
10775	10845	624
11965	12340	695
0	211	0
242	604	212
0	1552	0
2393	2524	1553
2831	3028	1685
5318	5438	1883
6705	6895	2004
7852	8040	2195
8668	8816	2384
11951	12136	2533
14099	14208	2719
15695	15855	2829
16606	16742	2990
17374	17482	3127
18467	18607	3236
0	86	0
772	838	87
1583	1768	154
3187	3327	340
4274	4470	481
5501	5673	678
6877	7052	851
8599	8803	1027
15024	15297	1232
0	700	0
928	994	701
1070	1404	768
0	142	0
915	1016	143
1574	1696	245
2141	4026	368
0	342	0
4662	4815	343
0	167	0
3353	3470	168
3841	3991	286
4117	4276	437
4367	4594	597
5085	5351	825
5540	5659	1092
5945	6079	1212
6628	7768	1347
0	136	0
3322	3439	137
3810	3960	255
4086	4104	406
4106	4111	425
4113	4115	431
4117	4245	434
4336	4563	563
5054	5320	791
5509	5628	1058
5914	6048	1178
6597	7609	1313
0	247	0
832	963	248
1183	1266	380
1371	1437	464
1516	1938	531
0	835	0
1217	1392	836
1533	1639	1012
1771	1896	1119
2213	2322	1245
2504	2566	1355
0	35	0
248	454	36
655	792	243
956	1058	381
1310	1402	484
1702	1805	577
2091	2225	681
2548	2689	816
2882	3060	958
3163	3280	1137
3484	3616	1255
4540	4663	1388
4925	5072	1512
5331	5446	1660
5527	5701	1776
5932	5992	1951
6380	6491	2012
6843	6948	2124
7100	7313	2230
7923	8248	2444
8624	8726	2770
9073	9291	2873
10474	10764	3092
10949	11069	3383
11372	11556	3504
11998	12180	3689
12532	12728	3872
12993	13205	4069
13480	13660	4282
13890	14054	4463
14843	15047	4628
15353	15503	4833
15857	16047	4984
16691	16805	5175
17472	17574	5290
17661	17834	5393
18219	18315	5567
18607	18774	5664
19057	19185	5832
19415	19574	5961
19769	20100	6121
20748	20966	6453
21720	21821	6672
22028	22155	6774
22315	22672	6902
0	35	0
248	454	36
655	792	243
956	1058	381
1310	1402	484
1702	1805	577
2091	2225	681
2548	2689	816
2882	3060	958
3163	3280	1137
3484	3616	1255
4540	4663	1388
4925	5072	1512
5331	5446	1660
5527	5701	1776
5932	5992	1951
6380	6491	2012
6843	6948	2124
7100	7313	2230
7923	8248	2444
8624	8726	2770
9073	9291	2873
10474	10764	3092
10949	11069	3383
11372	11556	3504
11998	12180	3689
12532	12728	3872
12993	13205	4069
13480	13660	4282
13890	14054	4463
14843	15047	4628
15353	15503	4833
15857	16047	4984
16691	16805	5175
17472	17574	5290
17661	17834	5393
18219	18315	5567
18607	18774	5664
19057	19185	5832
19415	19574	5961
19769	20100	6121
20748	20966	6453
21720	21821	6672
22028	22155	6774
22315	22481	6902
22902	23013	7069
0	1043	0
0	251	0
431	595	252
718	848	417
1010	1121	548
2296	2484	660
2487	2804	849
0	4728	0
5347	5443	4729
5625	5704	4826
5810	5894	4906
6302	6368	4991
6452	6628	5058
6901	7008	5235
10254	10397	5343
18369	18494	5487
0	1031	0
0	155	0
719	744	156
983	1084	182
1437	1547	284
2080	2150	395
2522	2661	466
2899	3003	606
0	25	0
131	232	26
659	772	128
976	1046	242
1184	1323	313
2059	2193	453
0	202	0
629	742	203
946	1016	317
1154	1293	388
2029	2124	528
0	97	0
753	854	98
1007	1120	200
1231	1307	314
1439	1578	391
2092	2190	531
0	135	0
358	383	136
537	638	162
791	904	264
1015	1091	378
1223	1362	455
1876	2030	595
0	220	0
381	482	221
594	701	323
964	1034	431
1599	1738	502
2299	2430	642
0	268	0
2861	3018	269
3618	3792	427
4750	4898	602
6238	6724	751
9002	9149	1238
10082	10294	1386
10940	12874	1599
0	218	0
767	915	219
2467	2644	368
3414	3773	546
4482	4556	906
5343	5417	981
7549	7710	1056
14243	14341	1218
14719	14797	1317
15226	15446	1396
15852	16065	1617
0	112	0
290	341	113
1157	1317	165
1935	2028	326
2596	3180	420
0	295	0
889	1064	296
1150	1264	472
1339	1379	587
0	433	0
1062	1186	434
1420	1607	559
0	430	0
1060	1184	431
1418	1583	556
0	226	0
1178	1619	227
0	782	0
870	956	783
987	1736	870
0	883	0
967	998	884
1246	1736	916
0	1026	0
1102	2354	1027
2520	2986	2280
3047	3257	2747
0	203	0
823	872	204
2656	2827	254
4588	4930	426
5641	5859	769
10798	10960	988
13121	13479	1151
23515	23618	1510
28200	28305	1614
29429	29569	1720
30440	30531	1861
32122	32174	1953
40704	40751	2006
46179	46313	2054
52291	52420	2189
0	126	0
1012	1188	127
1321	1488	304
1569	1647	472
2314	2351	551
2951	3052	589
3313	3426	691
3972	4048	805
4188	4330	882
5107	5269	1025
0	344	0
0	120	0
583	688	121
965	1233	227
0	645	0
1439	1577	646
2063	2116	785
11389	11556	839
12829	12996	1007
17110	17185	1175
0	173	0
1419	1501	174
2859	2967	257
5017	5151	366
6204	6311	501
7017	7076	609
7653	7690	669
8209	8350	707
9650	9703	849
10564	10636	903
10823	10881	976
11821	11990	1035
12603	12708	1205
12801	12924	1311
13141	13235	1435
0	454	0
1066	1200	455
1342	1452	590
1958	2221	701
3245	3475	965
3995	4154	1196
4895	5045	1356
5841	5958	1507
6386	6517	1625
8881	9197	1757
0	116	0
300	417	117
1037	1187	235
1452	1611	386
1911	2144	546
3110	3373	780
3731	3841	1044
4128	4265	1155
4435	4644	1293
0	182	0
257	394	183
1184	1294	321
1483	1755	432
2733	2966	705
3487	3646	939
4475	4625	1099
5364	5481	1250
6315	6440	1368
0	656	0
0	17	0
902	1036	18
